Level,Class6,Class7,Class20,Class21,Class22,Class23,Class24,Class25,Class26,Class27
1,0,0,0,0,0,0,0,0,0,0
2,40,45,50,100,100,100,100,100,100,100
3,95,100,110,201,203,202,202,201,203,202
4,160,165,180,303,309,306,306,303,309,306
5,235,240,260,418,434,441,426,418,434,441
6,320,325,350,538,569,586,551,538,569,586
7,415,420,450,663,714,735,681,663,714,735
8,520,525,560,793,869,895,816,793,869,895
9,635,640,680,928,1034,1060,956,928,1034,1060
10,760,765,810,1083,1239,1280,1126,1083,1239,1280
11,1010,1015,1070,1045,1135,1090,,120,110,130
12,1155,1160,1220,1155,1265,1210,,122,111,133
13,1320,1325,1390,1266,1398,1332,,124,112,136
14,1505,1510,1580,1378,1534,1456,,126,113,139
15,1710,1715,1790,1491,1673,1582,,128,114,142
16,1935,1940,2020,1605,1815,1710,,130,115,145
17,2180,2185,2270,1720,1960,1840,,132,116,148
18,2445,2450,2540,1836,2108,1972,,134,117,151
19,2730,2735,2830,1953,2259,2106,,136,118,154
20,3035,3040,3140,2071,2413,2242,,138,119,157
21,3645,3650,3760,2190,2570,2380,,,,
22,1308,1308,1308,2100,180,160,,,,
23,1336,1336,1336,2200,184,163,,,,
24,1364,1364,1364,2300,188,166,,,,
25,1392,1392,1392,2400,192,169,,,,
26,1420,1420,1420,2500,196,172,,,,
27,1448,1448,1448,2600,200,175,,,,
28,1476,1476,1476,2700,204,178,,,,
29,1504,1504,1504,2800,208,181,,,,
30,1532,1532,1532,2900,212,184,,,,
31,1560,1560,1560,3000,216,187,,,,
32,1588,1588,1588,3100,220,190,,,,
33,1616,1616,1616,3200,224,193,,,,
34,1644,1644,1644,3300,228,196,,,,
35,1672,1672,1672,3400,232,199,,,,
36,1700,1700,1700,3500,236,202,,,,
37,1728,1728,1728,3600,240,205,,,,
38,1756,1756,1756,3700,244,208,,,,
39,1784,1784,1784,3800,248,211,,,,
40,1812,1812,1812,3900,252,214,,,,
41,1840,1840,1840,4000,256,217,,,,
42,1868,1868,1868,4100,260,220,,,,
43,1896,1896,1896,4200,264,223,,,,
44,1924,1924,1924,4300,268,226,,,,
45,1952,1952,1952,4400,272,229,,,,
46,1980,1980,1980,4500,276,232,,,,
47,2008,2008,2008,4600,280,235,,,,
48,2036,2036,2036,4700,284,238,,,,
49,2064,2064,2064,4800,288,241,,,,
50,2092,2092,2092,4900,292,244,,,,
